year,Country,type,CV_idea,Turnout_idea,cv_change,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lead1,lead2,lead3,lead4,lead5,lead6,lead7,lead8,lead9,lead10,Population,interval,cid
1999,Niger,Presidential,0.0,41.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10318141,[1995-2004],128
2004,Niger,Presidential,0.0,46.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11360538,[1995-2004],128
2011,Niger,Presidential,0.0,48.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16468886,[2005-2014],128
2016,Niger,Presidential,0.0,63.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18638600,[2015-2024],128
2020,Niger,Presidential,0.0,69.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22772361,[2015-2024],128
2021,Niger,Presidential,0.0,62.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22772361,[2015-2024],128
1979,Nigeria,Presidential,0.0,35.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,77841000,[1975-1984],129
1999,Nigeria,Presidential,0.0,52.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,108258359,[1995-2004],129
2003,Nigeria,Presidential,0.0,69.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,129934911,[1995-2004],129
2007,Nigeria,Presidential,0.0,57.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,131859731,[2005-2014],129
2011,Nigeria,Presidential,0.0,53.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,155215573,[2005-2014],129
2015,Nigeria,Presidential,0.0,43.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,181562056,[2015-2024],129
2019,Nigeria,Presidential,0.0,34.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,208679114,[2015-2024],129
2023,Nigeria,Presidential,0.0,26.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,230842743,[2015-2024],129
1994,"North Macedonia, Republic of",Presidential,0.0,77.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,2142000,[1985-1994],131
1999,"North Macedonia, Republic of",Presidential,0.0,67.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,2020903,[1995-2004],131
2004,"North Macedonia, Republic of",Presidential,0.0,54.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,2071210,[1995-2004],131
2009,"North Macedonia, Republic of",Presidential,0.0,49.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,2066718,[2005-2014],131
2014,"North Macedonia, Republic of",Presidential,0.0,51.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,2091719,[2005-2014],131
2019,"North Macedonia, Republic of",Presidential,0.0,44.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,2122693,[2015-2024],131
1992,Palau,Presidential,0.0,83.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16025,[1985-1994],135
1996,Palau,Presidential,0.0,79.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17788,[1995-2004],135
2000,Palau,Presidential,0.0,81.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19092,[1995-2004],135
2004,Palau,Presidential,0.0,74.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20163,[1995-2004],135
2008,Palau,Presidential,0.0,67.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21093,[2005-2014],135
2012,Palau,Presidential,0.0,52.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21032,[2005-2014],135
2016,Palau,Presidential,0.0,62.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21347,[2015-2024],135
2020,Palau,Presidential,0.0,54.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21685,[2015-2024],135
1998,Philippines,Presidential,0.0,81.32,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,73052254,[1995-2004],140
2004,Philippines,Presidential,0.0,76.97,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,87857473,[1995-2004],140
2010,Philippines,Presidential,0.0,74.98,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,99900177,[2005-2014],140
2016,Philippines,Presidential,0.0,81.95,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,102624209,[2015-2024],140
2022,Philippines,Presidential,0.0,83.07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,112476027,[2015-2024],140
1990,Poland,Presidential,0.0,57.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,38119000,[1985-1994],141
1995,Poland,Presidential,0.0,66.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,38598000,[1995-2004],141
2000,Poland,Presidential,0.0,61.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,38742748,[1995-2004],141
2005,Poland,Presidential,0.0,50.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,38635144,[2005-2014],141
2010,Poland,Presidential,0.0,55.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,37798299,[2005-2014],141
2015,Poland,Presidential,0.0,52.150000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,38301885,[2015-2024],141
2020,Poland,Presidential,0.0,66.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,38282325,[2015-2024],141
1976,Portugal,Presidential,0.0,75.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9666000,[1975-1984],142
1980,Portugal,Presidential,0.0,84.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9899000,[1975-1984],142
1986,Portugal,Presidential,0.0,76.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10011000,[1985-1994],142
1991,Portugal,Presidential,0.0,61.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9867000,[1985-1994],142
1996,Portugal,Presidential,0.0,66.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9818000,[1995-2004],142
2001,Portugal,Presidential,0.0,49.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9963604,[1995-2004],142
2006,Portugal,Presidential,0.0,61.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10566212,[2005-2014],142
2011,Portugal,Presidential,0.0,46.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10760305,[2005-2014],142
2016,Portugal,Presidential,0.0,48.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10833816,[2015-2024],142
2021,Portugal,Presidential,0.0,39.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10263850,[2015-2024],142
2002,Republic of The Congo (Brazzaville),Presidential,0.0,74.7,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,2894336,[1995-2004],144
2009,Republic of The Congo (Brazzaville),Presidential,0.0,66.42,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,4012809,[2005-2014],144
2016,Republic of The Congo (Brazzaville),Presidential,0.0,68.92,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,4852412,[2015-2024],144
2021,Republic of The Congo (Brazzaville),Presidential,0.0,67.17,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,5417414,[2015-2024],144
1996,Romania,Presidential,0.0,75.95500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,22618000,[1995-2004],145
2000,Romania,Presidential,0.0,60.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,22303305,[1995-2004],145
2004,Romania,Presidential,0.0,56.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,22355551,[1995-2004],145
2009,Romania,Presidential,0.0,56.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,22011818,[2005-2014],145
2014,Romania,Presidential,0.0,58.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,21729871,[2005-2014],145
2019,Romania,Presidential,0.0,53.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,21381356,[2015-2024],145
1991,Russian Federation,Presidential,0.0,74.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,148624000,[1985-1994],146
1996,Russian Federation,Presidential,0.0,69.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,147523000,[1995-2004],146
2000,Russian Federation,Presidential,0.0,68.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,146595254,[1995-2004],146
2004,Russian Federation,Presidential,0.0,64.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,144526278,[1995-2004],146
2008,Russian Federation,Presidential,0.0,69.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,140702094,[2005-2014],146
2012,Russian Federation,Presidential,0.0,65.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,138082178,[2005-2014],146
2018,Russian Federation,Presidential,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,142122776,[2015-2024],146
2003,Rwanda,Presidential,0.0,96.55,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,8162715,[1995-2004],147
2010,Rwanda,Presidential,0.0,97.51,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,11055976,[2005-2014],147
2017,Rwanda,Presidential,0.0,98.15,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,11901484,[2015-2024],147
1983,Senegal,Presidential,0.0,58.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6316000,[1975-1984],153
1988,Senegal,Presidential,0.0,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7101000,[1985-1994],153
1993,Senegal,Presidential,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8152000,[1985-1994],153
2000,Senegal,Presidential,0.0,61.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9574276,[1995-2004],153
2007,Senegal,Presidential,0.0,70.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,12521851,[2005-2014],153
2012,Senegal,Presidential,0.0,53.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,12969606,[2005-2014],153
2019,Senegal,Presidential,0.0,66.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,15377009,[2015-2024],153
2004,Serbia,Presidential,0.0,48.05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,7462421,[1995-2004],154
2008,Serbia,Presidential,0.0,64.745,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,7334935,[2005-2014],154
2012,Serbia,Presidential,0.0,52.085,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,7276604,[2005-2014],154
2017,Serbia,Presidential,0.0,54.36,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,7111024,[2015-2024],154
2022,Serbia,Presidential,0.0,58.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,6941358,[2015-2024],154
1993,Seychelles,Presidential,0.0,86.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,72000,[1985-1994],155
1998,Seychelles,Presidential,0.0,86.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,78845,[1995-2004],155
2001,Seychelles,Presidential,0.0,93.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,80522,[1995-2004],155
2006,Seychelles,Presidential,0.0,88.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,81541,[2005-2014],155
2011,Seychelles,Presidential,0.0,85.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,89188,[2005-2014],155
2015,Seychelles,Presidential,0.0,88.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,92430,[2015-2024],155
2020,Seychelles,Presidential,0.0,88.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,95981,[2015-2024],155
1996,Sierra Leone,Presidential,0.0,58.940000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,4613000,[1995-2004],156
2002,Sierra Leone,Presidential,0.0,81.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,5426618,[1995-2004],156
2007,Sierra Leone,Presidential,0.0,71.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,5420000,[2005-2014],156
2012,Sierra Leone,Presidential,0.0,87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,5485998,[2005-2014],156
2018,Sierra Leone,Presidential,0.0,82.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,6312212,[2015-2024],156
2023,Sierra Leone,Presidential,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,8908040,[2015-2024],156
1999,Slovakia,Presidential,0.0,74.67,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,5392982,[1995-2004],158
2004,Slovakia,Presidential,0.0,45.72,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,5430033,[1995-2004],158
2009,Slovakia,Presidential,0.0,47.650000000000006,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,5463046,[2005-2014],158
2014,Slovakia,Presidential,0.0,46.94,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,5443583,[2005-2014],158
2019,Slovakia,Presidential,0.0,45.27,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,5443336,[2015-2024],158
1990,Slovenia,Presidential,0.0,79.94999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1998000,[1985-1994],159
1992,Slovenia,Presidential,0.0,85.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1996000,[1985-1994],159
1997,Slovenia,Presidential,0.0,68.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1942000,[1995-2004],159
2002,Slovenia,Presidential,0.0,68.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1930132,[1995-2004],159
2007,Slovenia,Presidential,0.0,58.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2009245,[2005-2014],159
2012,Slovenia,Presidential,0.0,45.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1996617,[2005-2014],159
2017,Slovenia,Presidential,0.0,43.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1972126,[2015-2024],159
2022,Slovenia,Presidential,0.0,52.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2101208,[2015-2024],159
2010,South Sudan,Presidential,0.0,58.62,,,,,,,,,,,,,,,,,,,,,,,9584299,[2005-2014],163
1982,Sri Lanka,Presidential,0.0,81.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15189000,[1975-1984],165
1988,Sri Lanka,Presidential,0.0,55.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16599000,[1985-1994],165
1994,Sri Lanka,Presidential,0.0,70.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17865000,[1985-1994],165
1999,Sri Lanka,Presidential,0.0,73.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18864358,[1995-2004],165
2005,Sri Lanka,Presidential,0.0,72.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20064776,[2005-2014],165
2010,Sri Lanka,Presidential,0.0,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21083826,[2005-2014],165
2015,Sri Lanka,Presidential,0.0,81.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21866445,[2015-2024],165
2019,Sri Lanka,Presidential,0.0,83.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22736505,[2015-2024],165
1996,State of Palestine,Presidential,0.0,72.05,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,1870000,[1995-2004],166
2005,State of Palestine,Presidential,0.0,45.56,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,3636195,[2005-2014],166
1996,Sudan,Presidential,0.0,72.2,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,30507000,[1995-2004],167
2010,Sudan,Presidential,0.0,72.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,35505000,[2005-2014],167
2015,Sudan,Presidential,0.0,46.4,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,38435252,[2015-2024],167
2014,Syrian Arab Republic,Presidential,0.0,73.42,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,17951639,[2005-2014],171
2021,Syrian Arab Republic,Presidential,0.0,78.64,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,20384316,[2015-2024],171
1991,São Tomé and Príncipe,Presidential,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,121000,[1985-1994],172
1996,São Tomé and Príncipe,Presidential,0.0,77.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,130806,[1995-2004],172
2001,São Tomé and Príncipe,Presidential,0.0,70.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,144703,[1995-2004],172
2006,São Tomé and Príncipe,Presidential,0.0,64.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,151912,[2005-2014],172
2011,São Tomé and Príncipe,Presidential,0.0,71.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,179591,[2005-2014],172
2016,São Tomé and Príncipe,Presidential,0.0,55.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,197541,[2015-2024],172
2021,São Tomé and Príncipe,Presidential,0.0,66.53999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,213948,[2015-2024],172
1996,Taiwan,Presidential,0.0,76.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21311000,[1995-2004],173
2000,Taiwan,Presidential,0.0,82.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,22092387,[1995-2004],173
2004,Taiwan,Presidential,0.0,80.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,22605000,[1995-2004],173
2008,Taiwan,Presidential,0.0,76.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,22858872,[2005-2014],173
2012,Taiwan,Presidential,0.0,74.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,23230506,[2005-2014],173
2016,Taiwan,Presidential,0.0,66.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,23464787,[2015-2024],173
2020,Taiwan,Presidential,0.0,74.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,23603049,[2015-2024],173
1994,Tajikistan,Presidential,0.0,88.33,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,5933000,[1985-1994],174
2006,Tajikistan,Presidential,0.0,91.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,7320815,[2005-2014],174
